time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,14.1,8.0,21.2,,42.0,6.4,1018.8
2021-01-02,14.8,10.7,21.5,0.0,37.0,9.0,1020.8
2021-01-03,14.1,7.0,22.6,0.0,37.0,6.6,1020.8
2021-01-04,13.5,7.0,21.0,0.0,41.0,5.8,1019.8
2021-01-05,15.2,10.7,22.0,0.0,37.0,10.3,1020.3
2021-01-06,13.7,8.0,20.2,0.0,18.0,3.2,1022.6
2021-01-07,14.0,8.0,22.0,0.0,29.0,3.3,1021.6
2021-01-08,13.7,8.0,21.6,0.0,28.0,4.1,1021.1
2021-01-09,14.0,8.0,21.0,0.0,34.0,4.8,1020.5
2021-01-10,14.4,9.0,22.0,0.0,38.0,4.5,1021.8
2021-01-11,13.1,6.0,20.5,0.0,36.0,3.1,1023.8
2021-01-12,15.6,11.9,22.0,0.0,21.0,4.1,1021.5
2021-01-13,14.7,11.0,20.0,30.5,37.0,10.9,1008.5
2021-01-14,11.1,8.0,15.0,4.2,43.0,9.3,1003.5
2021-01-15,10.7,5.0,17.0,0.2,38.0,5.4,1010.4
2021-01-16,11.6,10.5,14.0,19.9,51.0,9.9,1009.7
2021-01-17,11.7,8.0,15.8,9.2,30.0,8.7,1002.9
2021-01-18,9.2,5.0,13.0,0.0,42.0,9.4,1011.0
2021-01-19,8.2,4.0,13.0,9.7,13.0,13.0,1013.8
2021-01-20,7.4,4.0,11.0,0.0,25.0,19.2,1018.5
2021-01-21,5.7,-0.8,12.1,0.0,7.0,5.4,1030.4
2021-01-22,7.2,1.0,15.0,0.0,28.0,3.3,1029.3
2021-01-23,8.2,3.0,15.0,0.0,36.0,4.8,1024.1
2021-01-24,9.5,4.0,17.0,0.0,34.0,7.6,1021.8
2021-01-25,9.9,4.0,16.0,0.0,22.0,3.3,1021.6
2021-01-26,11.2,6.2,16.0,0.0,15.0,3.9,1021.9
2021-01-27,13.8,9.0,18.6,2.8,38.0,12.3,1012.3
2021-01-28,11.0,8.7,14.0,5.4,162.0,13.3,1010.2
2021-01-29,8.8,6.0,13.0,15.9,17.0,6.7,1010.5
2021-01-30,7.7,3.0,13.2,21.6,35.0,11.1,1013.7
2021-01-31,11.4,8.0,16.0,8.9,42.0,12.9,1013.1
2021-02-01,12.1,8.0,17.0,0.0,37.0,11.9,1022.9
2021-02-02,14.7,8.0,21.0,0.0,38.0,17.6,1021.2
2021-02-03,17.4,14.0,22.7,0.3,39.0,16.9,1016.9
2021-02-04,16.4,11.4,22.0,0.0,37.0,13.0,1014.6
2021-02-05,14.9,9.0,23.0,0.0,64.0,5.7,1016.0
2021-02-06,13.8,7.0,20.7,0.0,79.0,6.7,1019.3
2021-02-07,13.8,9.0,19.0,0.0,30.0,4.7,1020.8
2021-02-08,15.1,11.6,19.0,0.1,44.0,5.9,1022.5
2021-02-09,16.1,10.0,23.0,0.0,28.0,6.1,1020.8
2021-02-10,14.8,10.0,22.0,0.1,62.0,7.5,1018.1
2021-02-11,14.4,9.0,20.0,0.9,49.0,7.6,1019.2
2021-02-12,14.3,9.0,21.0,0.4,87.0,8.8,1014.5
2021-02-13,15.1,10.0,20.0,0.3,83.0,11.4,1017.0
2021-02-14,14.7,9.9,21.0,0.0,41.0,6.0,1016.6
2021-02-15,12.6,6.0,19.0,1.7,40.0,3.6,1012.1
2021-02-16,11.3,7.6,14.0,22.4,29.0,11.4,1003.3
2021-02-17,7.4,5.0,11.0,3.2,16.0,14.8,1003.7
2021-02-18,7.5,4.9,12.0,0.0,31.0,12.0,1015.3
2021-02-19,8.3,3.0,14.0,0.0,36.0,13.1,1021.5
2021-02-20,8.3,4.0,14.0,0.0,48.0,12.9,1024.6
2021-02-21,8.2,1.0,15.0,0.0,39.0,11.0,1026.1
2021-02-22,9.4,1.0,17.0,0.0,47.0,8.3,1026.5
2021-02-23,11.3,2.3,22.0,0.0,15.0,6.1,1024.1
2021-02-24,15.3,4.0,23.0,0.0,6.0,10.3,1019.8
2021-02-25,15.4,9.0,22.2,0.0,31.0,11.2,1020.5
2021-02-26,13.3,6.0,20.7,0.0,335.0,6.3,1020.9
2021-02-27,13.3,6.0,22.0,0.0,28.0,6.1,1017.2
2021-02-28,13.5,6.0,22.0,0.0,7.0,6.0,1014.8
2021-03-01,14.7,11.0,20.0,0.0,34.0,14.1,1016.4
2021-03-02,13.2,7.0,19.0,1.2,76.0,11.6,1019.6
2021-03-03,13.6,11.0,18.0,0.6,360.0,8.0,1018.1
2021-03-04,14.0,8.5,21.5,0.0,12.0,7.4,1015.5
2021-03-05,13.4,6.5,20.2,0.0,81.0,11.3,1020.1
2021-03-06,14.1,9.0,20.0,0.3,78.0,9.4,1022.6
2021-03-07,14.1,9.0,19.7,0.1,137.0,8.4,1016.5
2021-03-08,15.1,11.0,20.3,1.2,66.0,7.8,1012.8
2021-03-09,14.2,9.0,19.0,0.0,92.0,8.7,1015.3
2021-03-10,15.8,10.0,22.0,0.0,35.0,11.9,1012.3
2021-03-11,16.4,9.0,23.0,1.6,275.0,15.0,1002.8
2021-03-12,13.4,8.0,18.0,1.2,52.0,16.6,1008.3
2021-03-13,11.8,3.0,19.2,0.0,257.0,7.2,1017.6
2021-03-14,13.6,7.9,20.0,0.0,68.0,7.1,1016.0
2021-03-15,13.7,11.9,16.0,4.8,33.0,8.4,1011.4
2021-03-16,14.3,12.0,19.0,8.7,196.0,17.7,1008.3
2021-03-17,12.6,9.8,16.5,7.4,161.0,13.3,1007.5
2021-03-18,11.8,6.0,17.5,1.6,51.0,12.9,1010.0
2021-03-19,13.0,5.0,20.0,0.0,356.0,6.9,1015.7
2021-03-20,14.7,10.0,19.0,0.5,36.0,5.0,1016.7
2021-03-21,16.0,8.0,25.0,0.0,7.0,2.2,1011.6
2021-03-22,17.0,10.9,24.0,1.5,27.0,7.8,1007.6
2021-03-23,16.1,14.0,18.2,22.3,21.0,7.9,1002.7
2021-03-24,14.0,11.0,16.2,12.7,199.0,22.4,998.5
2021-03-25,12.2,5.0,16.1,1.9,206.0,16.9,1006.9
2021-03-26,8.7,5.0,13.0,1.2,48.0,11.1,1015.0
2021-03-27,9.9,2.3,17.0,0.0,7.0,6.9,1023.1
2021-03-28,11.3,4.0,18.0,0.0,317.0,5.7,1026.6
2021-03-29,13.1,4.2,21.0,0.0,29.0,6.4,1023.6
2021-03-30,16.0,7.0,23.1,0.0,56.0,8.2,1016.1
2021-03-31,17.5,14.0,21.0,0.7,162.0,12.5,1012.2
2021-04-01,13.6,11.0,18.0,10.9,68.0,11.0,1013.4
2021-04-02,12.0,9.9,16.1,15.0,49.0,9.4,1014.6
2021-04-03,13.6,8.0,20.2,0.1,27.0,8.8,1018.1
2021-04-04,15.7,11.5,21.0,0.9,132.0,10.1,1021.0
2021-04-05,15.6,13.0,18.5,0.7,45.0,5.5,1020.6
2021-04-06,18.2,12.0,26.0,0.0,28.0,8.0,1015.2
2021-04-07,21.9,14.0,29.5,0.0,27.0,9.9,1011.2
2021-04-08,18.7,16.0,23.0,0.0,137.0,8.3,1013.0
2021-04-09,17.4,14.4,22.0,2.9,80.0,12.6,1010.2
2021-04-10,10.9,9.0,14.2,16.4,37.0,15.6,1007.7
2021-04-11,11.5,8.6,15.0,2.0,59.0,9.1,1013.7
2021-04-12,11.6,7.0,16.2,0.0,44.0,5.8,1018.1
2021-04-13,13.0,5.9,20.0,0.0,63.0,6.8,1019.1
2021-04-14,14.7,9.0,20.1,0.0,332.0,5.0,1020.0
2021-04-15,16.5,10.7,24.0,0.0,4.0,4.6,1017.4
2021-04-16,18.7,11.0,27.1,0.0,16.0,4.1,1015.8
2021-04-17,21.5,12.5,30.6,0.0,21.0,2.6,1015.8
2021-04-18,24.1,16.0,32.0,0.0,17.0,3.7,1015.3
2021-04-19,25.7,20.0,34.0,0.0,20.0,3.4,1011.3
2021-04-20,22.9,18.0,29.0,0.0,152.0,9.2,1008.9
2021-04-21,19.0,15.0,23.0,0.0,146.0,10.3,1014.7
2021-04-22,18.0,12.7,24.0,0.0,152.0,5.7,1018.1
2021-04-23,20.5,11.9,30.0,0.0,343.0,3.1,1017.3
2021-04-24,23.3,12.0,34.0,0.0,18.0,5.2,1010.9
2021-04-25,23.4,17.0,29.0,0.0,131.0,7.4,1006.0
2021-04-26,19.4,13.0,25.0,0.9,206.0,7.8,1005.4
