time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,11.7,9.7,14.2,3.3,45.0,2.0,1018.5
2021-01-02,11.8,8.6,17.4,12.2,55.0,3.8,1022.0
2021-01-03,10.7,7.7,15.6,0.0,50.0,3.2,1022.5
2021-01-04,12.8,7.5,16.7,0.0,64.0,5.3,1018.1
2021-01-05,13.4,10.7,19.5,13.5,34.0,2.3,1016.5
2021-01-06,10.8,8.4,15.9,0.0,55.0,3.7,1023.0
2021-01-07,11.2,8.1,15.8,0.0,39.0,1.7,1021.6
2021-01-08,13.0,9.6,21.1,0.0,13.0,0.5,1019.1
2021-01-09,14.7,12.4,16.8,2.0,41.0,1.4,1017.6
2021-01-10,17.2,14.5,21.8,0.0,56.0,2.0,1019.8
2021-01-11,17.8,15.2,23.0,0.3,53.0,2.0,1020.1
2021-01-12,18.8,16.6,22.2,0.0,68.0,3.5,1014.1
2021-01-13,12.8,10.1,19.1,15.2,287.0,1.8,1005.1
2021-01-14,8.4,6.7,14.9,2.8,257.0,1.5,1008.0
2021-01-15,7.3,4.9,13.2,7.1,22.0,1.5,1010.7
2021-01-16,5.4,3.3,9.4,0.5,38.0,2.4,1007.1
2021-01-17,4.0,0.8,10.6,6.1,323.0,1.5,1009.5
2021-01-18,2.3,0.3,6.0,0.0,49.0,2.3,1016.9
2021-01-19,1.6,-2.2,7.6,0.0,15.0,0.5,1020.9
2021-01-20,2.4,-1.8,10.1,0.0,20.0,0.9,1027.8
2021-01-21,4.9,0.1,11.5,0.0,70.0,4.8,1030.5
2021-01-22,7.1,3.8,10.2,0.0,72.0,5.5,1028.1
2021-01-23,10.1,6.5,13.1,0.8,54.0,2.8,1021.8
2021-01-24,12.7,9.4,18.0,1.5,43.0,1.6,1016.2
2021-01-25,13.9,12.6,17.3,0.5,54.0,1.8,1013.3
2021-01-26,15.3,11.5,19.5,1.5,32.0,1.1,1012.2
2021-01-27,9.7,5.3,16.4,12.7,256.0,3.1,1002.5
2021-01-28,3.4,1.5,6.0,15.5,342.0,0.7,1012.3
2021-01-29,4.4,-0.4,8.4,3.6,59.0,3.5,1016.6
2021-01-30,8.8,6.4,17.9,1.3,45.0,3.8,1006.3
2021-01-31,11.2,5.6,18.1,6.6,49.0,2.2,1011.7
2021-02-01,16.3,10.8,19.1,0.0,73.0,5.6,1012.9
2021-02-02,17.1,14.6,21.4,0.0,72.0,3.8,1014.2
2021-02-03,13.4,10.9,20.7,0.0,29.0,2.2,1017.2
2021-02-04,12.2,8.6,20.9,0.0,36.0,1.8,1017.6
2021-02-05,12.3,8.3,22.1,0.0,30.0,1.1,1019.5
2021-02-06,12.9,8.0,21.2,0.0,40.0,1.8,1019.4
2021-02-07,13.8,8.0,23.9,0.0,26.0,1.2,1018.9
2021-02-08,17.5,13.6,21.3,0.0,84.0,5.3,1015.0
2021-02-09,15.8,12.8,21.2,0.0,330.0,2.2,1016.9
2021-02-10,13.8,12.1,18.0,4.3,9.0,2.0,1017.5
2021-02-11,13.9,9.0,21.0,0.2,88.0,10.9,1015.8
2021-02-12,12.2,7.9,17.0,13.0,288.0,10.5,1015.9
2021-02-13,12.7,4.0,17.3,0.0,35.0,4.2,1019.8
2021-02-14,9.4,7.6,13.0,0.3,51.0,2.7,1014.5
2021-02-15,4.7,3.7,7.0,9.9,333.0,1.1,1014.7
2021-02-16,4.0,2.3,9.1,0.5,3.0,1.4,1012.9
2021-02-17,3.4,0.2,9.2,0.0,323.0,3.0,1017.3
2021-02-18,3.3,-0.9,9.2,0.0,21.0,1.2,1021.0
2021-02-19,5.6,1.2,14.0,0.0,36.0,2.6,1025.4
2021-02-20,7.5,2.0,13.0,0.0,35.0,6.0,1025.8
2021-02-21,8.2,5.0,17.3,0.0,55.0,7.3,1024.8
2021-02-22,9.3,3.9,17.8,0.0,40.0,1.5,1027.6
2021-02-23,11.4,6.1,21.0,0.0,39.0,1.4,1027.3
2021-02-24,12.1,8.3,23.5,0.0,29.0,1.1,1025.6
2021-02-25,12.2,6.1,19.5,0.0,34.0,2.5,1024.6
2021-02-26,12.4,7.2,21.0,0.0,53.0,2.3,1023.5
2021-02-27,11.7,6.7,20.8,0.0,37.0,1.9,1018.3
2021-02-28,11.6,7.8,21.3,0.0,31.0,1.7,1018.8
2021-03-01,8.6,5.1,16.9,0.0,24.0,1.4,1021.5
2021-03-02,8.7,3.5,15.7,0.0,353.0,1.7,1022.9
2021-03-03,9.6,4.6,19.4,0.0,15.0,1.0,1021.7
2021-03-04,9.7,4.4,19.9,0.0,7.0,1.4,1021.2
2021-03-05,11.6,4.4,21.3,0.0,21.0,2.7,1020.5
2021-03-06,13.6,9.2,20.8,0.0,7.0,1.2,1021.5
2021-03-07,12.3,8.6,20.4,0.5,318.0,1.4,1019.8
2021-03-08,8.8,4.1,17.4,0.0,357.0,1.2,1017.6
2021-03-09,11.3,5.9,17.0,0.0,55.0,2.3,1015.1
2021-03-10,13.6,9.3,22.3,0.0,34.0,1.3,1011.1
2021-03-11,10.6,7.1,15.0,16.0,316.0,2.3,1008.9
2021-03-12,8.1,2.4,15.8,0.0,286.0,1.3,1018.6
2021-03-13,10.4,4.6,18.9,0.0,26.0,1.8,1017.8
2021-03-14,11.4,7.2,17.1,0.0,55.0,2.0,1015.3
2021-03-15,12.4,10.7,18.0,2.5,57.0,1.7,1007.4
2021-03-16,11.3,7.9,17.6,26.7,238.0,3.5,1004.8
2021-03-17,8.7,5.5,13.2,24.4,10.0,1.0,1007.5
2021-03-18,8.9,4.7,15.4,4.1,302.0,1.7,1013.6
2021-03-19,10.6,6.5,15.0,0.5,30.0,1.7,1015.0
2021-03-20,13.8,11.2,18.5,2.3,24.0,0.9,1014.6
2021-03-21,15.9,10.9,24.1,0.0,50.0,2.0,1009.1
2021-03-22,16.7,11.6,24.1,0.0,281.0,2.8,1002.1
2021-03-23,11.7,9.8,14.9,2.3,0.0,1.1,1000.9
2021-03-24,7.1,3.8,12.5,2.5,302.0,2.8,1006.9
2021-03-25,4.6,3.2,10.3,0.0,24.0,1.7,1015.5
2021-03-26,6.7,1.2,14.2,0.0,349.0,1.5,1023.1
2021-03-27,9.2,3.2,17.2,0.0,34.0,1.3,1027.2
2021-03-28,11.7,6.4,19.9,0.0,76.0,2.3,1028.1
2021-03-29,13.6,6.7,22.3,0.0,43.0,2.1,1025.5
2021-03-30,11.6,8.1,19.3,0.0,3.0,2.5,1019.8
2021-03-31,10.1,6.7,16.1,0.0,18.0,1.5,1013.6
2021-04-01,9.1,7.1,14.6,5.3,351.0,1.0,1013.0
2021-04-02,10.8,5.5,19.1,3.3,303.0,1.7,1016.2
2021-04-03,14.4,8.3,22.3,0.0,10.0,2.6,1017.1
2021-04-04,16.4,11.8,20.5,0.0,70.0,4.1,1016.4
2021-04-05,18.1,17.4,21.0,1.3,51.0,2.6,1013.5
2021-04-06,19.4,16.1,24.5,0.5,67.0,3.7,1009.0
2021-04-07,17.3,14.6,23.3,0.0,303.0,2.0,1010.6
2021-04-08,14.6,11.3,21.8,0.0,260.0,2.3,1013.3
2021-04-09,9.2,4.6,15.8,0.3,337.0,3.3,1020.0
2021-04-10,9.9,3.7,16.4,0.3,8.0,2.9,1021.6
2021-04-11,10.4,3.5,18.7,0.0,339.0,1.4,1021.1
2021-04-12,12.0,6.0,20.6,0.0,11.0,1.4,1020.9
2021-04-13,14.8,8.3,23.2,0.0,355.0,2.7,1019.1
2021-04-14,17.6,11.3,23.8,0.0,328.0,3.0,1017.1
2021-04-15,16.6,10.0,24.6,0.0,225.0,2.6,1016.5
2021-04-16,17.4,12.5,24.8,0.0,351.0,1.4,1015.4
2021-04-17,22.6,16.5,30.2,0.2,68.0,4.2,1012.0
2021-04-18,21.6,19.6,25.2,0.0,32.0,2.3,1013.5
2021-04-19,19.0,16.2,25.7,0.3,341.0,1.7,1013.0
2021-04-20,15.6,11.7,23.1,0.0,298.0,2.3,1013.4
2021-04-21,15.1,9.2,24.0,0.0,201.0,2.1,1017.6
